"","full_name","position","team","targets","rec","rec_yards","air_yards","yac","td","adot","racr","ms_air","tgt_share","wopr","ppr"
"240","Laquon Treadwell","WR","MIN",3,1,15,59,0,0,19.7,0.25,0.06,0.02,0.07,2.5
"241","Randall Telfer","TE","CLE",6,2,4,28,9,0,4.7,0.14,0.02,0.03,0.06,2.4
"242","Chris Manhertz","TE","CAR",1,1,10,10,0,0,10,1,0.02,0.02,0.05,2
"243","James O'Shaughnessy","TE","KC",3,2,-1,13,0,0,4.3,-0.08,0,0.01,0.01,1.9
"244","Jared Abbrederis","WR","GB",2,1,8,9,2,0,4.5,0.89,0.01,0.03,0.05,1.8
"245","David Morgan","TE","MIN",1,1,4,2,2,0,2,2,0,0.01,0.02,1.4
"246","Troy Niklas","TE","ARI",2,1,0,0,0,0,0,NA,0,0.02,0.02,1
"247","Matthew Slater","WR","NE",1,0,0,49,0,0,49,0,0.02,0,0.02,0.5
"248","Jakeem Grant","WR","MIA",1,0,0,-3,0,0,-3,0,0,0,0,0.1
"249","A.J. Derby","TE","NE",0,0,0,0,0,0,NA,NA,0,0,0,0
"250","Demarcus Robinson","WR","KC",0,0,0,0,0,0,NA,NA,0,0,0,0
"251","Eric Tomlinson","TE","NYJ",0,0,0,0,0,0,NA,NA,0,0,0,0
"252","Eric Weems","WR","ATL",0,0,0,0,0,0,NA,NA,0,0,0,0
"253","Isaiah Burse","WR","SD",4,0,0,64,0,0,16,0,0.03,0.01,0.04,0
"254","Kalif Raymond","WR","DEN",2,0,0,66,0,0,33,0,0.05,0.01,0.06,0
